procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 3338200  41304 360440    0    0     9    10  165  170  0  1 99  0  0
 0  0      0 3336152  41304 360440    0    0     0     0  374  430  1  1 99  0  0
 1  0      0 3336152  41304 360440    0    0     0     0  288  336  0  0 100  0  0
 0  0      0 3336152  41304 360440    0    0     0     0  321  369  0  1 99  0  0
 0  0      0 3336152  41304 360460    0    0     0     0  403  387  0  2 98  0  0
 0  0      0 3336152  41312 360452    0    0     0    80  399  381  0  0 99  1  0
 0  0      0 3336152  41312 360460    0    0     0    12  424  403  0  1 99  0  0
 1  0      0 3336152  41312 360460    0    0     0     0  337  352  0  0 100  0  0
 0  0      0 3336152  41312 360460    0    0     0     0  314  350  0  0 100  0  0
 0  0      0 3336152  41312 360460    0    0     0    24  359  370  0  0 100  0  0
 0  0      0 3336152  41312 360460    0    0     0    40  322  342  1  1 99  0  0
 0  0      0 3336152  41312 360460    0    0     0     0  342  386  0  0 100  0  0
 0  0      0 3336152  41312 360472    0    0     0     0  297  344  1  0 99  0  0
 0  0      0 3336152  41312 360472    0    0     0     0  300  342  0  0 100  0  0
 0  0      0 3336152  41320 360464    0    0     0    32  307  344  0  0 99  1  0
 0  0      0 3336152  41320 360476    0    0     0     0  330  362  0  0 100  0  0
 0  0      0 3336152  41320 360480    0    0     0     0  313  370  0  1 99  0  0
 0  0      0 3336152  41320 360480    0    0     0    28  363  363  0  1 99  0  0
 1  0      0 3336152  41320 360480    0    0     0     0  305  344  0  0 100  0  0
 0  0      0 3336152  41320 360480    0    0     0     4  302  355  0  0 100  0  0
 0  0      0 3336152  41320 360496    0    0     0     0  292  348  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3336152  41328 360488    0    0     0    28  329  387  0  0 99  1  0
 0  0      0 3336152  41328 360496    0    0     0     0  319  347  0  1 99  0  0
 1  0      0 3336152  41328 360496    0    0     0     0  306  345  0  0 100  0  0
 0  0      0 3336152  41328 360496    0    0     0     0  276  337  0  0 100  0  0
 0  0      0 3336152  41328 360496    0    0     0   508  376  375  0  2 98  0  0
 0  0      0 3336152  41328 360496    0    0     0     0  325  369  0  0 100  0  0
 0  0      0 3336152  41328 360496    0    0     0     0  328  351  0  0 100  0  0
 1  0      0 3336152  41328 360508    0    0     0     0  316  347  0  0 100  0  0
 0  0      0 3336152  41328 360508    0    0     0     0  308  353  1  0 99  0  0
 0  0      0 3336152  41336 360500    0    0     0    36  274  354  0  0 99  1  0
 0  0      0 3336152  41336 360508    0    0     0     0  297  375  0  1 99  0  0
 0  0      0 3336152  41336 360508    0    0     0     0  294  336  0  1 99  0  0
 0  0      0 3336152  41336 360508    0    0     0    20  289  351  0  0 100  0  0
 0  0      0 3336152  41336 360508    0    0     0     0  281  342  0  0 100  0  0
 0  0      0 3336152  41336 360508    0    0     0    12  279  345  0  0 100  0  0
 0  0      0 3336152  41336 360524    0    0     0     0  297  361  0  0 100  0  0
 0  0      0 3336152  41336 360524    0    0     0     0  270  334  0  1 99  0  0
 1  0      0 3336152  41344 360516    0    0     0    32  305  359  0  0 99  1  0
 0  0      0 3336152  41344 360524    0    0     0     0  334  351  1  0 99  0  0
 0  0      0 3336152  41344 360524    0    0     0     0  331  348  0  0 100  0  0
 0  0      0 3336152  41344 360524    0    0     0    24  327  377  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3336152  41344 360524    0    0     0     0  321  352  0  0 100  0  0
 0  0      0 3336152  41344 360524    0    0     0     8  302  349  0  1 99  0  0
 0  0      0 3336152  41344 360536    0    0     0     0  304  355  0  0 100  0  0
 0  0      0 3336152  41344 360536    0    0     0     0  287  339  0  1 99  0  0
 0  0      0 3336152  41352 360528    0    0     0    28  292  379  0  0 100  0  0
 0  0      0 3336152  41352 360536    0    0     0     0  280  352  0  0 100  0  0
 0  0      0 3336152  41352 360536    0    0     0     0  281  346  0  0 100  0  0
 0  0      0 3336152  41352 360536    0    0     0    20  342  363  0  0 100  0  0
 0  0      0 3336152  41352 360536    0    0     0     0  313  338  0  1 99  0  0
 0  0      0 3336152  41352 360536    0    0     0     0  331  377  0  0 100  0  0
 0  0      0 3336152  41364 360552    0    0     0    40  299  358  0  1 99  0  0
 0  0      0 3336152  41364 360552    0    0     0     0  301  344  0  0 100  0  0
 0  0      0 3336152  41364 360552    0    0     0    16  293  342  0  0 100  0  0
 0  0      0 3336152  41364 360552    0    0     0     0  295  353  0  1 99  0  0
 0  0      0 3336152  41364 360552    0    0     0     0  310  363  0  0 100  0  0
 0  0      0 3336152  41364 360552    0    0     0    24  328  356  0  0 100  0  0
 0  0      0 3336152  41364 360552    0    0     0     0  292  340  0  0 100  0  0
 0  0      0 3336152  41364 360552    0    0     0     0  324  359  0  0 100  0  0
 0  0      0 3336152  41372 360568    0    0     0    40  324  358  0  0 99  1  0
 0  0      0 3336152  41372 360568    0    0     0     0  316  350  0  1 99  0  0
 0  0      0 3336152  41372 360568    0    0     0     0  301  345  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3336152  41372 360568    0    0     0     0  276  350  0  1 99  0  0
 0  0      0 3336152  41372 360568    0    0     0     0  298  350  0  0 100  0  0
 0  0      0 3336152  41372 360568    0    0     0    24  298  357  0  0 100  0  0
 0  0      0 3336152  41372 360568    0    0     0     0  310  375  0  1 99  0  0
 0  0      0 3336152  41372 360572    0    0     0     0  290  357  0  0 100  0  0
 0  0      0 3336152  41372 360584    0    0     0     0  292  345  0  0 100  0  0
 0  0      0 3336152  41372 360588    0    0     0     0  299  366  0  0 100  0  0
 0  0      0 3336152  41380 360580    0    0     0    36  274  346  0  0 99  1  0
 0  0      0 3336152  41380 360588    0    0     0    20  295  365  0  1 99  0  0
 0  0      0 3336152  41380 360588    0    0     0     0  316  341  0  0 100  0  0
 0  0      0 3336152  41380 360592    0    0     0    16  355  374  0  0 100  0  0
 0  0      0 3336152  41380 360596    0    0     0     0  315  338  0  0 100  0  0
 0  0      0 3336152  41380 360596    0    0     0     0  319  345  0  1 99  0  0
 0  0      0 3336152  41388 360608    0    0     0    36  297  373  0  0 100  0  0
 0  0      0 3336152  41388 360608    0    0     0     0  320  342  0  0 100  0  0
 0  0      0 3336152  41388 360608    0    0     0     0  292  334  0  0 100  0  0
 0  0      0 3336152  41388 360608    0    0     0    24  305  354  0  0 100  0  0
 0  0      0 3336152  41388 360608    0    0     0     0  309  338  0  0 100  0  0
 0  0      0 3336152  41388 360608    0    0     0     0  326  376  0  1 99  0  0
 0  0      0 3336152  41388 360608    0    0     0     0  321  333  0  0 100  0  0
 0  0      0 3336152  41388 360608    0    0     0     0  320  344  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3336152  41396 360628    0    0     0    36  320  394  0  1 99  0  0
 0  0      0 3336152  41396 360628    0    0     0     0  292  334  0  0 100  0  0
 1  0      0 3336152  41396 360628    0    0     0     0  316  370  0  0 100  0  0
 0  0      0 3336152  41396 360628    0    0     0     0  344  359  0  0 100  0  0
 0  0      0 3336152  41396 360628    0    0     0     0  355  349  0  0 100  0  0
 0  0      0 3336152  41396 360628    0    0     0    28  314  362  0  0 100  0  0
 0  0      0 3336152  41396 360628    0    0     0     4  299  349  0  0 100  0  0
 0  0      0 3336152  41396 360628    0    0     0     0  343  379  0  1 99  0  0
 0  0      0 3336152  41396 360640    0    0     0     0  292  341  0  0 100  0  0
 0  0      0 3336152  41396 360640    0    0     0     0  285  347  1  0 99  0  0
 0  0      0 3336152  41404 360632    0    0     0    36  286  343  0  0 99  1  0
 0  0      0 3336152  41404 360640    0    0     0     0  312  342  0  1 99  0  0
 0  0      0 3336152  41404 360640    0    0     0     0  299  366  0  0 100  0  0
 1  0      0 3336152  41404 360640    0    0     0    20  316  347  0  0 100  0  0
 0  0      0 3336152  41404 360640    0    0     0     0  321  347  0  0 100  0  0
 0  0      0 3336152  41404 360640    0    0     0     0  346  365  0  0 100  0  0
 0  0      0 3336152  41404 360656    0    0     0     0  284  338  0  0 100  0  0
 0  0      0 3336152  41404 360656    0    0     0     0  284  362  0  0 100  0  0
 1  0      0 3336152  41412 360648    0    0     0    36  278  345  0  1 99  0  0
 0  0      0 3336152  41412 360656    0    0     0     0  295  346  0  1 99  0  0
 0  0      0 3336152  41412 360656    0    0     0     0  316  365  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3336152  41412 360656    0    0     0    24  341  354  1  0 99  0  0
 0  0      0 3336152  41412 360656    0    0     0     0  297  360  0  0 100  0  0
 0  0      0 3336152  41412 360656    0    0     0     0  290  345  0  0 100  0  0
 1  0      0 3336152  41412 360668    0    0     0     0  269  340  0  0 100  0  0
 0  0      0 3336152  41412 360668    0    0     0     0  267  352  0  0 100  0  0
 0  0      0 3336152  41412 360668    0    0     0     0  273  342  0  0 100  0  0
 0  0      0 3336152  41420 360660    0    0     0    36  301  377  0  1 98  1  0
 0  0      0 3336152  41420 360668    0    0     0     0  287  334  0  0 100  0  0
 0  0      0 3336152  41420 360668    0    0     0    20  297  350  0  0 100  0  0
 1  0      0 3336152  41420 360668    0    0     0     0  289  346  0  0 100  0  0
 0  0      0 3336152  41420 360668    0    0     0     0  279  341  0  1 99  0  0
 0  0      0 3336152  41420 360684    0    0     0     0  279  358  0  0 100  0  0
 0  0      0 3336152  41420 360684    0    0     0     0  258  330  0  1 99  0  0
 1  0      0 3336152  41428 360676    0    0     0    36  281  336  0  1 99  0  0
 0  0      0 3336152  41428 360688    0    0     0     0  294  349  0  1 99  0  0
 0  0      0 3336152  41428 360688    0    0     0     0  268  341  0  0 100  0  0
 0  0      0 3336152  41428 360688    0    0     0    28  284  370  0  0 100  0  0
 0  0      0 3336152  41428 360688    0    0     0     0  279  345  0  1 99  0  0
 0  0      0 3336152  41428 360688    0    0     0     0  283  341  0  0 100  0  0
 0  0      0 3336152  41436 360700    0    0     0    64  289  356  0  0 99  1  0
 0  0      0 3336152  41436 360700    0    0     0     0  301  341  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3336152  41436 360700    0    0     0     0  294  364  0  0 100  0  0
 0  0      0 3336152  41436 360700    0    0     0     0  297  340  0  1 99  0  0
 0  0      0 3336152  41444 360700    0    0     0    28  314  375  0  1 98  1  0
 0  0      0 3336152  41444 360700    0    0     0    20  299  348  1  0 99  0  0
 0  0      0 3336152  41444 360700    0    0     0     0  284  334  0  0 100  0  0
 0  0      0 3336152  41444 360700    0    0     0     0  295  361  0  1 99  0  0
 0  0      0 3336152  41444 360712    0    0     0     0  300  357  0  0 100  0  0
 0  0      0 3336152  41444 360712    0    0     0     0  305  337  1  1 99  0  0
