procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 3011800  62932 507640    0    0     5    11  165  193  0  1 99  0  0
 0  0      0 3008492  62940 507644    0    0     0    88  343  859  1  3 96  1  0
 0  0      0 3008492  62940 507644    0    0     0     0  329  791  1  0 99  0  0
 0  0      0 3008492  62940 507656    0    0     0     0  388  858  1  1 98  0  0
 2  0      0 3008240  62940 507696    0    0     0    96  595 1120  1  3 96  0  0
 1  0      0 3008240  62940 507696    0    0     0     0  391  907  1  1 99  0  0
 0  0      0 3008240  62940 507732    0    0     0    12  411  879  1  1 99  0  0
 0  0      0 3007988  62944 507728    0    0     0    88  427  881  1  0 99  0  0
 2  0      0 3007744  62944 507732    0    0     0     0  326  785  1  0 99  0  0
 0  0      0 3007744  62944 507732    0    0     0    12  389  812  0  2 98  0  0
 1  0      0 3007620  62944 507744    0    0     0     0  387  877  1  1 98  0  0
 0  0      0 3007620  62944 507744    0    0     0     0  356  804  1  1 99  0  0
 0  0      0 3007620  62952 507744    0    0     0    36  367  850  1  1 98  1  0
 0  0      0 3007620  62952 507776    0    0     0     0  345  798  1  1 99  0  0
 0  0      0 3007496  62952 507804    0    0     0   100  354  806  1  0 99  0  0
 1  0      0 3007244  62952 507804    0    0     0    24  418  894  1  1 99  0  0
 0  0      0 3007120  62952 507804    0    0     0   208  419  860  1  1 98  0  0
 5  0      0 3007120  62952 507804    0    0     0    16  372  823  1  0 99  0  0
 0  0      0 3006996  62960 507820    0    0     0    56  337  796  1  1 99  0  0
 0  0      0 3006996  62960 507820    0    0     0     0  365  838  1  1 98  0  0
 0  0      0 3006872  62960 507820    0    0     0     0  347  857  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3006620  62960 507852    0    0     0     0  456  890  1  1 98  0  0
 0  0      0 3006496  62960 507888    0    0     0     0  442  848  1  0 99  0  0
 5  0      0 3006496  62964 507888    0    0     0   144  416  828  1  1 98  1  0
 0  0      0 3006372  62964 507888    0    0     0     0  405  792  1  1 98  0  0
 0  0      0 3006252  62964 507888    0    0     0    12  309  840  1  0 99  0  0
