procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 2079024  75788 857660    0    0     4    15  189  401  0  1 99  0  0
 0  0      0 2076976  75788 857660    0    0     0   128  563 2043  1  2 98  0  0
 3  0      0 2076976  75788 857660    0    0     0     0  573 2115  1  0 99  0  0
14  0      0 2076976  75788 857660    0    0     0    28  644 2107  1  0 99  0  0
 0  0      0 2076976  75788 857660    0    0     0     0  577 2111  1  2 98  0  0
 2  0      0 2076976  75788 857660    0    0     0   272  486 2091  2  1 98  0  0
 1  0      0 2076976  75788 857896    0    0     0   108  974 2124  1  6 93  1  0
 0  0      0 2076976  75788 857896    0    0     0     0 1881 2265  1 21 77  0  0
 1  0      0 2076976  75788 857896    0    0     0     0  496 2088  2  1 98  0  0
 0  0      0 2076976  75788 857896    0    0     0     0  438 2022  1  0 99  0  0
 1  0      0 2076976  75788 857896    0    0     0     0  447 1962  1  1 98  0  0
 0  0      0 2076976  75800 857896    0    0     0   512  627 2135  2  4 94  0  0
 0  0      0 2076976  75800 857896    0    0     0     0  458 1942  1  1 98  0  0
 1  0      0 2076976  75800 857896    0    0     0     0  458 1994  1  0 99  0  0
 0  0      0 2076976  75800 858144    0    0     0     0  506 2131  1  0 99  0  0
 0  0      0 2076976  75800 858144    0    0     0    40  460 1968  1  0 99  0  0
 0  0      0 2076976  75812 858132    0    0     0    68  495 2029  1  1 98  1  0
 9  0      0 2076976  75812 858144    0    0     0     0  512 2112  1  1 99  0  0
 0  0      0 2076976  75812 858144    0    0     0     0  492 2012  1  1 98  0  0
 0  0      0 2076976  75812 858144    0    0     0    32  551 2065  2  1 97  0  0
 0  0      0 2076976  75812 858144    0    0     0     0  622 2122  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 2076976  75812 858144    0    0     0     0  466 1955  1  1 99  0  0
13  0      0 2076976  75812 858380    0    0     0    24  470 1947  1  0 99  0  0
 0  0      0 2076976  75812 858380    0    0     0     0  428 2019  1  1 99  0  0
 0  0      0 2076976  75816 858376    0    0     0    56  473 2071  1  2 97  1  0
 0  0      0 2076976  75816 858384    0    0     0   724  484 2005  1  1 99  0  0
11  0      0 2076976  75816 858384    0    0     0     0  477 2087  1  1 98  0  0
 0  0      0 2076976  75816 858384    0    0     0    24  446 1981  1  0 99  0  0
 2  0      0 2076976  75816 858384    0    0     0     0  475 1986  1  1 98  0  0
 0  0      0 2076976  75816 858384    0    0     0    48  505 2127  2  1 98  0  0
 0  0      0 2076976  75820 858620    0    0     0    88  429 1993  1  0 99  0  0
 0  0      0 2076976  75820 858620    0    0     0     0  404 1921  1  0 99  0  0
 0  0      0 2076976  75820 858620    0    0     0     0  537 2155  1  1 98  0  0
 1  0      0 2076976  75820 858620    0    0     0     0  467 1976  1  1 99  0  0
 0  0      0 2076976  75820 858620    0    0     0     0  496 2077  1  0 99  0  0
 0  0      0 2076976  75824 858620    0    0     0   116  606 2133  2  0 98  1  0
 0  0      0 2076976  75824 858620    0    0     0     0  529 1989  1  1 98  0  0
 0  0      0 2076976  75824 858620    0    0     0   252  591 2059  1  0 99  0  0
 4  0      0 2076976  75824 858856    0    0     0     0  450 2058  0  0 100  0  0
 0  0      0 2076976  75824 858856    0    0     0     0  465 2035  2  1 97  0  0
 0  0      0 2076976  75824 858856    0    0     0     0  487 2000  1  1 98  0  0
 0  0      0 2076976  75824 858856    0    0     0     0  443 2001  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2076976  75828 858860    0    0     0    76  462 1986  1  1 98  0  0
15  0      0 2076976  75828 858860    0    0     0    32  471 1985  1  1 99  0  0
 0  0      0 2076976  75828 858860    0    0     0     0  491 2098  1  1 98  0  0
 3  0      0 2076976  75828 858860    0    0     0    32  446 1988  1  1 98  0  0
